station_number,station_name,station_short_name,station_type,cdec_id,site_code,latitude,longitude,lldatum,positional_accuracy,County
A81940,Clover Creek Bypass near Upper Lake,Clover Cr Bypass nr,Surface Water,,,39.177202,-122.899074,NAD83,Unknown,Lake
16N02W05B001M,COL_05B001M screen interval 730 to 750 ft bgs,Screen: 730-750 ft,Groundwater,,392753N1221057W001,39.275273,-122.105677,NAD83,Unknown,Colusa
16N02W05B002M,COL_05B002M screen interval 462 to 473 ft bgs,Screen: 462-473 ft,Groundwater,,392753N1221057W002,39.275273,-122.105677,NAD83,Unknown,Colusa
16N02W05B003M,COL_05B003M screen interval 174 to 255 bgs,Screen: 174-255 ft,Groundwater,,392753N1221057W003,39.275273,-122.105677,NAD83,Unknown,Colusa
16N02W05B004M,COL_05B004M screen interval 461 to 771 bgs,Screen: 461-771 ft,Groundwater,,392752N1221056W001,39.275247,-122.105576,NAD83,Unknown,Colusa
17N02W09H002M,COL_09H002M screen interval 779 to 800 bgs,Screen: 779-800 ft,Groundwater,,393417N1220838W001,39.341681,-122.083787,NAD83,Unknown,Colusa
17N02W09H003M,COL_09H003M screen interval 460 to 520 bgs,Screen: 460-520 ft,Groundwater,,393417N1220838W002,39.341681,-122.083787,NAD83,Unknown,Colusa
17N02W09H004M,COL_09H004M screen interval 250 to 260 bgs,Screen: 250-260 ft,Groundwater,,393417N1220838W003,39.341681,-122.083787,NAD83,Unknown,Colusa
17N02W09H005M,COL_09H005M screen interval 440 to 812 bgs,Screen: 440-812 ft,Groundwater,,393416N1220838W001,39.341631,-122.083817,NAD83,Unknown,Colusa
17N01W10A001M,COL_10A001M screen interval 770-800 ft bgs,Screen: 770-800 ft,Groundwater,,393437N1219519W001,39.343775,-121.951948,NAD83,"GPS, 10m",Colusa
17N01W10A002M,COL_10A002M screen interval 380-425 ft bgs,Screen: 380-425 ft,Groundwater,,393437N1219519W002,39.343775,-121.951948,NAD83,"GPS, 10m",Colusa
17N01W10A003M,COL_10A003M screen interval 148 to 158 ft bgs.,Screen: 148-158 ft,Groundwater,,393437N1219519W003,39.343775,-121.951948,NAD83,"GPS, 10m",Colusa
17N01W10A004M,COL_10A004M screen interval 88 to 98 ft bgs,Screen: 88-98 ft,Groundwater,,393437N1219519W004,39.343775,-121.951948,NAD83,"GPS, 10m",Colusa
16N03W14H003M,Col_14H003M screen interval 1370 to 1420 ft bgs,Screen: 1370-1420 ft,Groundwater,,392414N1221535W001,39.241473,-122.153517,NAD83,"GPS, 10m",Colusa
16N03W14H004M,Col_14H004M screen interval 1140 to 1180 ft,Screen: 1140-1180 ft,Groundwater,,392414N1221535W002,39.241473,-122.153517,NAD83,"GPS, 10m",Colusa
16N03W14H005M,Col_14H005M screened interval 720 to 730 ft bgs,Screen: 720-730 ft,Groundwater,,392414N1221535W003,39.241473,-122.153517,NAD83,"GPS, 10m",Colusa
16N03W14H006M,Col_14H006M screen interval 295 to 305 ft bgs,Screen: 295-305 ft,Groundwater,,392414N1221535W004,39.241473,-122.153517,NAD83,"GPS, 10m",Colusa
15N03W20Q001M,Col_20Q001M screen interval 370 to 410 ft bgs,Screen: 370-410 ft,Groundwater,,391330N1222165W001,39.132998,-122.216434,NAD83,"GPS, 10m",Colusa
15N03W20Q002M,Col_20Q002M screen interval 130 to 160 ft bgs,Screen: 130-160 ft,Groundwater,,391330N1222165W002,39.132998,-122.216434,NAD83,"GPS, 10m",Colusa
15N03W20Q003M,Col_20Q003M screen interval 30 to 80 ft,Screen: 30-80 ft,Groundwater,,391330N1222165W003,39.132998,-122.216434,NAD83,"GPS, 10m",Colusa
14N02W22A002M,COL_22A002M screen interval 1020 to 1030 bgs,14N02W22A002M,Groundwater,,390540N1220607W002,39.05398,-122.06067,NAD83,"Survey, 1m",Colusa
14N02W22A003M,COL_22A003M screen interval 860 to 930 bgs,14N02W22A003M,Groundwater,,390540N1220607W004,39.05398,-122.06067,NAD83,"Survey, 1m",Colusa
14N02W22A004M,COL_22A004M screen interval 580 to 590 bgs,14N02W22A004M,Groundwater,,390540N1220607W006,39.05398,-122.06067,NAD83,"Survey, 1m",Colusa
14N02W22A005M,COL_22A005M screen interval 290 to 310 bgs,14N02W22A005M,Groundwater,,390540N1220607W008,39.05398,-122.06067,NAD83,"Survey, 1m",Colusa
17N01W27A001M,Col_27A001M screen interval 430 to 510 ft bgs,Screen: 430-510 ft,Groundwater,,393010N1219528W001,39.300987,-121.952991,NAD83,"GPS, 10m",Colusa
17N01W27A002M,Col_27A002M screened interval 260 to 270 ft bgs,Screen: 260-270 ft,Groundwater,,393010N1219528W002,39.300987,-121.952991,NAD83,"GPS, 10m",Colusa
17N01W27A003M,Col_27A003M screeened interval 160 to 170 ft bgs,Screen: 160-170 ft,Groundwater,,393010N1219528W003,39.300987,-121.952991,NAD83,"GPS, 10m",Colusa
14N01E35P001M,COL_35P001M screen interval 985 to 995 ft bgs,Screen: 985-995 ft,Groundwater,,390124N1218291W001,39.012435,-121.829041,NAD83,"GPS, 10m",Colusa
14N01E35P002M,COL_35P002M screen interval 545 to 705 ft bgs,Screen: 545-705 ft,Groundwater,,390124N1218291W002,39.012435,-121.829041,NAD83,"GPS, 10m",Colusa
14N01E35P003M,COL_35P003M screen interval 135 to 225 ft bgs,Screen: 135-225 ft,Groundwater,,390124N1218291W003,39.012435,-121.829041,NAD83,"GPS, 10m",Colusa
14N01E35P004M,COL_35P004M screen interval 50 to 60 ft bgs,Screen: 50-60 ft,Groundwater,,390124N1218291W004,39.012435,-121.829041,NAD83,"GPS, 10m",Colusa
A02976,Colusa Basin Drain at Highway 20,CBD at HWY20,Surface Water,CDR,,39.195512,-122.060517,NAD83,Unknown,Colusa
A02945,Colusa Basin Drain at Knights Landing,Colusa Basin Dr @ KL,Surface Water,KLG,,38.799468,-121.725202,NAD83,Unknown,Yolo
A0294710,Colusa Basin Drain near Knights Landing,CBD NR KL,Water Quality,,,38.79943,-121.72508,NAD83,Unknown,Sutter
A02981,Colusa Weir Spill to Butte Basin near Colusa,Colusa Weir Spill,Surface Water,CLW,,39.23682,-121.99476,NAD83,Unknown,Colusa
09N03E08C004M,Conaway Extensometer screen 535-545 depth 716 ft bgs,CON Ext and P4 deep,Groundwater,,386464N1216675W004,38.64643,-121.667384,NAD83,"Survey, 1m",Yolo
09N03E08C001M,Conaway Land Subsidence Well shallow scrn 80-90 ft bgs,CON P1 shallow,Groundwater,,386464N1216675W001,38.646422,-121.667487,NAD83,"Survey, 1m",Yolo
09N03E08C003M,Conaway Subsidence Well mid-deep screen 240-280 ft bgs,CON P3 middle-deep,Groundwater,,386464N1216675W003,38.646422,-121.667487,NAD83,"Survey, 1m",Yolo
09N03E08C002M,Conaway Subsidence Well mid-shallow scrn 140-150 ft bgs,CON P2 mid-shallow,Groundwater,,386464N1216675W002,38.646422,-121.667487,NAD83,"Survey, 1m",Yolo
22N04W01A001M,Corning Basin TSS -Deep screen 680-700,Corning Basin TSS-D,Groundwater,,397974N1222523W001,39.79740478,-122.2523029,NAD83,"Survey, 1m",Tehama
22N04W01A002M,Corning Basin TSS- Int Deep screen 520-530,Corning Basin TSS-ID,Groundwater,,397974N1222523W002,39.79740478,-122.2523029,NAD83,"Survey, 1m",Tehama
22N04W01A003M,Corning Basin TSS- Int Shallow screen 330-340,Corning Basin TSS-IS,Groundwater,,397974N1222523W003,39.79740478,-122.2523029,NAD83,"Survey, 1m",Tehama
22N04W01A004M,Corning Basin TSS- Shallow screen 40-50,Corning Basin TSS-S,Groundwater,,397974N1222523W004,39.79740478,-122.2523029,NAD83,"Survey, 1m",Tehama
24N03W15A001M,Corning Yrd CWT- Deep screen 740-750 800-810 840-850,Corning Yrd CWT- D,Groundwater,,399408N1221823W001,39.94085,-122.182325,NAD83,"Survey, 1m",Tehama
24N03W15A002M,Corning Yrd CWT- Int Deep scrn 480-490 530-540 590-600,Corning Yrd CWT- ID,Groundwater,,399408N1221823W002,39.94085,-122.182325,NAD83,"Survey, 1m",Tehama
24N03W15A003M,Corning Yrd CWT- Int Shallow scrn 260-270,Corning Yrd CWT- IS,Groundwater,,399408N1221823W003,39.94085,-122.182325,NAD83,"Survey, 1m",Tehama
24N03W15A004M,Corning Yrd CWT- Shallow 170-190,Corning Yrd CWT- S,Groundwater,,399408N1221823W004,39.94085,-122.182325,NAD83,"Survey, 1m",Tehama
B01125,Cosumnes River at McConnell,CosumnesR. @ McConll,Surface Water,MCC,,38.35805556,-121.3433333,NAD83,Unknown,Sacramento
B13150,"Cosumnes River, Middle Fork, near Somerset",CosmnsR.M.F. nr Smrs,Surface Water,CMF,,38.625,-120.7025,NAD83,"GPS, 10m",El Dorado
B12100,"Cosumnes River, North Fork, near El Dorado",CosmnsR.N.F. nr ElDr,Surface Water,CNF,,38.58944444,-120.8438889,NAD83,Unknown,El Dorado
A0352050,Cottonwood Creek at Cottonwood,CTNWOOD C A CTNWD,Water Quality,,,40.37811,-122.27376,NAD83,Unknown,Tehama
A03545,"Cottonwood Creek, North Fork, near Igo","Cott. Cr, NF, nr Igo",Surface Water,,,40.442134,-122.550846,NAD83,Unknown,Shasta
A03595,"Cottonwood Creek, South Fork, near Cottonwood","Cott. Cr, SF, nr Cot",Surface Water,,,40.316212,-122.449318,NAD83,Unknown,Tehama
A4811000,Cow Creek near Millville,COW C NR MILLVILLE,Water Quality,,,40.50528,-122.23222,NAD83,Unknown,Shasta
A4855500,Cow Creek South at Campground,Cow C S A CG,Water Quality,,,40.606938,-121.853057,,Unknown,Shasta
C02602,Cross Creek below Lakeland Canal 2,Cross Cr blw Lakelan,Surface Water,,,36.211617,-119.562625,NAD83,1/250000,Kings
A43100,DCID Deer Creek Diversion near Vina,DCID Deer Cr Div.,Surface Water,,,40.00956,-121.9573,WGS84,Unknown,Tehama
A4317700,Deer Creek at Deer Station,Deer C A Deer St,Water Quality,,,40.266573,-121.44373,NAD83,Unknown,Tehama
A43180,Deer Creek at Highway 32,Deer Cr @ Highway 32,Surface Water,,,40.264691,-121.451055,NAD83,Unknown,Tehama
A0432101,Deer Creek at HWY 99E near Vina,DEER C A HWY 99E,Water Quality,,,39.9471,-122.05318,NAD83,Unknown,Tehama
A04325,Deer Creek below Stanford/Vina Dam near Vina,Deer Cr blw S/V Dam,Surface Water,DVD,,39.963616,-122.034362,NAD83,Unknown,Tehama
A4318570,Deer Creek Downstream Confluence,Deer C DS Confluence,Water Quality,,,40.26911,-121.43318,WGS84,Unknown,Tehama
A4318000,Deer Creek Downstream Confluence-2,Deer C DS Confluenc2,Water Quality,,,40.2664,-121.43968,WGS84,Unknown,Tehama
A4318580,Deer Creek Upstream Confluence,Deer C US Confluence,Water Quality,,,40.26926,-121.43185,WGS84,Unknown,Tehama
A4318800,Deer Meadow beaver dam us_Deeer C below Deer Lodge,Deer C BL Deer Lodge,Water Quality,,,40.26209,-121.40485,WGS84,Unknown,Tehama
A4318605,Deer Meadow Mid_Deer Creek Meadow-7,Deer C Meadow-7,Water Quality,,,40.26989,-121.41974,WGS84,Unknown,Tehama
17N01W20H001H,DEL_20H001H screen interval 25 to 30 ft bgs,Screen: 25-30 ft,Groundwater,,418522N1242019W001,41.852247,-124.201582,WGS84,"Survey, 1m",Del Norte
04N04E01N001M,Delta Island Consumptive Use_New Hope Tract_ ND21B_35ft,ND-21B,Groundwater,,382000N1214812W001,38.21975,-121.4975,WGS84,"GPS, 10m",San Joaquin
05N04E36G001M,Delta Island Consumptive Use-McCormackWilliamson-ND13MA,ND13MA,Groundwater,,382411N1214894W001,38.241083,-121.489389,WGS84,"GPS, 10m",Sacramento
05N04E36G002M,Delta Island Consumptive Use-McCormackWilliamson-ND13MB,ND13MB,Groundwater,,382411N1214894W002,38.241083,-121.489389,WGS84,"GPS, 10m",Sacramento
05N05E30A004M,Delta Island Consumptive Use-McCormack-Williamson-ND2,ND2,Groundwater,,382604N1214665W001,38.260361,-121.457639,WGS84,"GPS, 10m",Sacramento
05N05E29D003M,Delta Island Consumptive Use-New Hope Tract-ND1-20ft,ND1,Groundwater,,382593N1214664W001,38.25925,-121.466361,WGS84,"GPS, 10m",San Joaquin
04N05E07N002M,Delta Island Consumptive Use-New Hope Tract-ND22-20ft,ND-22,Groundwater,,382063N1214794W001,38.20625,-121.47936,WGS84,"GPS, 10m",San Joaquin
05N05E30K001M,Delta Island Consumptive Use-New Hope Tract-ND6MA-20ft,ND-6MA,Groundwater,,382512N1214742W001,38.2511944,-121.47419,WGS84,"GPS, 10m",San Joaquin
05N05E30K002M,Delta Island Consumptive Use-New Hope Tract-ND6MB-100ft,ND-6MB,Groundwater,,382512N1214742W002,38.2511944,-121.47419,WGS84,"GPS, 10m",San Joaquin
04N04E13A001M,Delta Island Consumptive Use-Staten Island-ND23MA-20ft,ND23MA,Groundwater,,382047N1214809W001,38.20469444,-121.4808889,NAD83,"GPS, 10m",San Joaquin
04N04E13A002M,Delta Island Consumptive Use-Staten Island-ND23MB-100ff,ND23MB,Groundwater,,382047N1214809W002,38.20469444,-121.4808889,NAD83,"GPS, 10m",San Joaquin
04N04E12M001M,Delta Island Consumptive Use-Staten Island-ND38MA-20ft,ND38MA,Groundwater,,382108N1215020W001,38.2108889,-121.5020556,NAD83,"GPS, 10m",San Joaquin
04N04E12M002M,Delta Island Consumptive Use-Staten Island-ND38MB-100ft,ND38MB,Groundwater,,382108N1215020W002,38.2108889,-121.5020556,NAD83,"GPS, 10m",San Joaquin
04N04E27F001M,Delta Island Consumptive Use-Staten Island-ND45 25ft,ND45,Groundwater,,381688N1215288W001,38.16880456,-121.5287087,NAD83,"GPS, 10m",San Joaquin
04N04E34N001M,Delta Island Consumptive Use-Staten Island-ND48MA 20ft,ND48MA,Groundwater,,381482N1215360W001,38.14825,-121.5360833,NAD83,"GPS, 10m",San Joaquin
04N04E34N002M,Delta Island Consumptive Use-Staten Island-ND48MB-100ff,ND48MB,Groundwater,,381482N1215360W002,38.14825,-121.5360833,NAD83,"GPS, 10m",San Joaquin
03N04E11L001M,Delta Island Consumptive Use-Staten Island-ND69-25ft,ND69,Groundwater,,381204N1215094W001,38.12044444,-121.5094167,NAD83,"GPS, 10m",San Joaquin
04N04E10Q001M,Delta Island Consumptive Use-Tyler Island-ND39MA-20ff,ND39MA,Groundwater,,382044N1215280W001,38.20441667,-121.5280556,NAD83,"GPS, 10m",Sacramento
04N04E10Q002M,Delta Island Consumptive Use-Tyler Island-ND39MB-100ff,ND39MB,Groundwater,,382044N1215280W002,38.20441667,-121.5280556,NAD83,"GPS, 10m",Sacramento
04N04E02B001M,Delta Island Consumptive Use-Walnut Grove-ND34-20ft,ND34,Groundwater,,382328N1215070W001,38.232889,-121.507028,WGS84,"GPS, 10m",Sacramento
B95925,Delta Mendota Canal at Tracy Pumping Plant near Tracy,Delta Mendota Can @,Surface Water,,,37.796872,-121.585228,NAD83,1/250000,San Joaquin
B00770,Delta Mendota Canal to Mendota Pool,Delta Mendota Can to,Surface Water,,,36.786616,-120.385447,NAD83,1/250000,Fresno
B95261,Discovery Bay at Discovery Bay Blvd.,Discovery Bay Blvd,Tide Station,DBD,,37.89277778,-121.6025,NAD83,Unknown,Contra Costa
B95260,Discovery Bay at Indian Slough,Discovery Bay @ Indi,Tide Station,DBI,,37.917778,-121.5866667,NAD83,Unknown,Contra Costa
A5R9319132620,Diversion Pool upstream Thermalito Diversion Dam (20M),Div Pool us Dam 20M,Water Quality,,,39.5326,-121.5436,,Unknown,Butte
G7700000,Donner Creek above Truckee River - WQ,DCAT,Surface Water,,,39.31672,-120.20146,NAD83,"GPS, 10m",Nevada
A1C12930294,Dorris Reservoir Outlet,Dorris Res OL,Water Quality,,,41.48754167,-120.4899583,,Unknown,Modoc
B9532500,Doughty Cut above Grant Line Canal - WQ,Doughty Cut abv GLC,Water Quality,,,37.8147169,-121.4252089,NAD83,"GPS, 10m",San Joaquin
B95325,Doughty Cut above Grantline Canal,Doughty Cut abv Gran,Tide Station,DGL,,37.81472222,-121.4255556,NAD83,Unknown,San Joaquin
B95423,Drainage at Arbor Road,DAR,Surface Water,DAR,,37.76896,-121.41941,,Unknown,San Joaquin
B04130,Dry Creek near Modesto,Dry Cr nr Modesto,Surface Water,DCM,,37.657,-120.922,NAD83,"GPS, 10m",Stanislaus
12N01W15N007M,DWD Well 1 deep scrn 542-562 ft bgs,DWD MW-1C,Groundwater,,388847N1219665W003,38.88471,-121.966457,NAD83,"Survey, 1m",Yolo
12N01W15N006M,DWD Well 1 mid scrn 369-368 ft bgs,DWD MW-1B,Groundwater,,388847N1219665W002,38.88471,-121.966457,NAD83,"Survey, 1m",Yolo
12N01W15N005M,DWD Well 1 shallow scrn 146-166 ft bgs,DWD MW-1A,Groundwater,,388847N1219665W001,38.88471,-121.966457,NAD83,"Survey, 1m",Yolo
12N01W04M003M,DWD Well 2 deep scrn 565-585 ft bgs,DWD MW-2C,Groundwater,,389163N1219875W003,38.916277,-121.987509,NAD83,"Survey, 1m",Yolo
12N01W04M002M,DWD Well 2 Mid scrn 305-325 ft bgs,DWD MW-2B,Groundwater,,389163N1219875W002,38.916277,-121.987509,NAD83,"Survey, 1m",Yolo
12N01W04M001M,DWD Well 2 shallow scrn 135-155 ft bgs,DWD MW-2A,Groundwater,,389163N1219875W001,38.916277,-121.987509,NAD83,"Survey, 1m",Yolo
F21396,Dwinnell Dam Instream Flow Releases,Dwinnell Instream Q,Surface Water,DFB,,41.540894,-122.37455,NAD83,Unknown,Siskiyou
F21400,Dwinnell Reservoir near Edgewood,DRE,Surface Water,DRE,,41.540892,-122.374548,NAD83,Unknown,Siskiyou
F21395,Dwinnell Seepage Weir to Shasta River,Dwinnell Seepage W,Surface Water,DSW,,41.54199,-122.3768,NAD83,Unknown,Siskiyou
A05910,DWR Sutter Bypass Pumping Plant #1,DWR P.P.#1,Surface Water,PM1,,38.931945,-121.634079,NAD83,Unknown,Sutter
A05921,DWR Sutter Bypass Pumping Plant #2,DWR P.P.#2,Surface Water,PM2,,39.026357,-121.72649,NAD83,Unknown,Sutter
A05926,DWR Sutter Bypass Pumping Plant #3,DWR P.P.#3,Surface Water,PM3,,39.120279,-121.778971,NAD83,Unknown,Sutter
26N02W22E003M,Dye Creek CWT- Deep screen 730-750 ft bgs,Dye Creek CWT- D,Groundwater,,400921N1220855W002,40.09211014,-122.085546,NAD83,"Survey, 1m",Tehama
26N02W22E004M,Dye Creek CWT- Int Deep screen: 560-570 620-630 660-670,Dye Creek CWT- ID,Groundwater,,410921N1210855W001,40.09211014,-122.085546,NAD83,"Survey, 1m",Tehama
26N02W22E005M,Dye Creek CWT- Int Shallow screen 100-110 190-200,Dye Creek CWT- IS,Groundwater,,400921N1220855W003,40.09211014,-122.085546,NAD83,"Survey, 1m",Tehama
26N02W22E006M,Dye Creek CWT- Shallow screen 40-50,Dye Creek CWT- S,Groundwater,,400921N1220855W001,40.09211014,-122.085546,NAD83,"Survey, 1m",Tehama
G31139,Eagle Lake near Spaulding (west shore),Eagle Lake nr Spauld,Surface Water,,,40.667131,-120.789727,NAD83,Unknown,Lassen
G32100,Eagle Lake near Susanville (east shore),Eagle Lake nr Susan,Surface Water,,,40.613523,-120.727144,NAD83,Unknown,Lassen
B95242,East Contra Costa I.D. Pumping Plant #1,E Contra Costa I.D.,Surface Water,ECD,,37.91805556,-121.6236111,NAD83,Unknown,Contra Costa
10N08E29J001M,East Natoma Well Screened 55-85 ft bgs,East Natoma Well,Groundwater,,386895N1211169W001,38.6895,-121.1169,NAD83,"Survey, 1m",Sacramento
B00416,Eastside Bypass below Mariposa Bypass,Eside Bypass blw Mar,Surface Water,EBM,,37.205,-120.698,NAD83,"GPS, 10m",Merced
B00435,Eastside Bypass near El Nido,Eside Bypass nr El N,Surface Water,ELN,,37.1482,-120.60602,NAD83,"GPS, 10m",Merced
F6300901,"Eel R, MF, at Dos Rios",EEL MF DOS RIOS,Water Quality,,,39.71069,-123.34765,NAD83,Unknown,Humboldt
F6410000,"Eel R, South Fork, near Miranda",EEL SF MIRANDA,Water Quality,,,40.18227,-123.77593,NAD83,Unknown,Humboldt
F6132950,Eel River above Outlet Creek,EEL AB OUTLET C,Water Quality,,,39.62608,-123.34467,NAD83,Unknown,Humboldt
F6110000,Eel River at Scotia,EEL R A SCOTIA,Water Quality,,,40.4954,-124.0931,,Unknown,Humboldt
A0332000,Elder Creek at Gerber,ELDER C A GERBER,Water Quality,,,40.05223,-122.14832,NAD83,Unknown,Tehama
G14500,Emerson Creek near Eagleville,Emerson Cr nr Eaglev,Surface Water,,,41.282232,-120.115195,NAD83,Unknown,Modoc
A1723000,Fall River at Glenburn,FALL R A GLENBURN,Water Quality,,,41.06242,-121.4811,NAD83,Unknown,Shasta
A17300,Fall River at Spring Creek near Dana,Fall @ Spring Cr nr,Surface Water,,,41.101573,-121.515314,NAD83,Unknown,Shasta
A17200,Fall River near Dana,Fall nr Dana,Surface Water,,,41.097429,-121.548137,NAD83,Unknown,Shasta
B9504400,False River near Oakley,False River,Water Quality,FAL,,38.0554639,-121.6671159,NAD83,"GPS, 10m",Contra Costa
A05102,Feather River at Nicolaus - New (above old station),FeatherR. @ Nic. New,Surface Water,,,38.89166667,-121.6016667,NAD83,Unknown,Sutter
A05103,Feather River at Nicolaus (Old),FeatherR. @ Nic. Old,Surface Water,NIC,,38.88972222,-121.6016667,NAD83,Unknown,Sutter
A05054,Feather River at White Oaks Ranch,FeatherR. @ Wht Oaks,Surface Water,,,38.8775,-121.6130556,NAD83,Unknown,Sutter
A05135,Feather River at Yuba City,FeatherR. @ YubaCity,Surface Water,YUB,,39.13855556,-121.60625,NAD83,Unknown,Sutter
A05145,Feather River at Yuba Water Treatment Plant,YWP,Surface Water,YWP,A05145,39.16155,-121.61239,WGS84,Unknown,Sutter
A05120,Feather River below Shanghi Bend,Feather blw Shanghi,Surface Water,,,38.04546,-121.6104,NAD83,1/250000,Sutter
A05173,Feather River below Thermalito Afterbay,FeatherR. blw Thrmlt,Surface Water,,,39.4525,-121.6425,NAD83,Unknown,Butte
A05165,Feather River near Gridley,Feather R nr Gridley,Surface Water,GRL,,39.36666667,-121.6475,NAD83,Unknown,Butte
A5101050,Feather River near Verona,Feather R NR Verona,Water Quality,,,38.79109,-121.62609,NAD83,Unknown,Sutter
14N03E23D003M,Feather River Well 1A shallow screen 40-60 ft bgs,FR-1A Shallow,Groundwater,,390458N1216114W001,39.045823,-121.611448,NAD83,"Survey, 1m",Sutter
14N03E23D004M,Feather River Well 1B mid-shallow screen 235-255 ft bgs,FR-1B Middle Shallow,Groundwater,,390458N1216114W002,39.045823,-121.611448,NAD83,"Survey, 1m",Sutter
14N03E23D005M,Feather River Well 1C middle-deep screen 664-684 ft bgs,FR-1C Middle Deep,Groundwater,,390458N1216114W003,39.045823,-121.611448,NAD83,"Survey, 1m",Sutter
14N03E23D006M,Feather River Well 1D deep screen 996-1016 ft bgs,FR-1D Deep,Groundwater,,390458N1216114W004,39.045823,-121.611448,NAD83,"Survey, 1m",Sutter
A55420,"Feather River, Middle Fork, Near Portola",Feather R MF nr Port,Surface Water,MFP,,39.8188,-120.4448,NAD83,Unknown,Plumas
A52260,"Feather River, West Branch, near Magalia",Feather R WB nr Mag.,Surface Water,WFR,,39.813983,-121.571181,NAD83,Unknown,Butte
A5260000,"Feather River,West Branch, near Paradise",Fea R WB nr Paradise,Water Quality,,,39.7873,-121.56261,NAD83,Unknown,Butte
B9505000,Fisherman's Cut,FSH,Water Quality,FCT,,38.06782222,-121.6488389,WGS84,Unknown,Contra Costa
B95050Q,Fisherman's Cut,Fisherman's Cut,Tide Station,FCT,,38.0656,-121.6479,WGS84,"GPS, 10m",Contra Costa
13N01E24G002M,Flood Monitoring Well 1A deep screen 240-300 ft bgs,Flood MW-1A deep,Groundwater,,389605N1218102W001,38.9605,-121.8102,NAD83,"GPS, 10m",Sutter
13N01E24G003M,Flood Monitoring Well 1B middle screen 130-160 ft bgs,Flood MW-1B middle,Groundwater,,389605N1218102W002,38.9605,-121.8102,NAD83,"GPS, 10m",Sutter
13N01E24G004M,Flood Monitoring Well 1C shallow screen 70-90 ft bgs,Flood MW-1C shallow,Groundwater,,389605N1218102W003,38.9605,-121.8102,NAD83,"GPS, 10m",Sutter
F25650,French Creek at Highway 3 near Callahan,FCC,Surface Water,FCC,,41.411746,-122.858823,NAD83,Unknown,Siskiyou
A00647,Freshwater Creek at Leesville Road near Williams,Freshwater Cr @ Lees,Surface Water,,,39.129339,-122.30993,NAD83,Unknown,Colusa
B06725,Fresno River 8 Miles West of Madera,Fresno 8 Miles W of,Surface Water,,,36.975224,-120.202113,NAD83,1/250000,Madera
B67325,"Fresno River, Lewis Fork, near Oakhurst","Fresno River, Lewis",Surface Water,FRU,,37.34494,-119.63928,NAD83,"GPS, 10m",Madera
C03913,Friant Kern Canal at Porter Slough near Porterville,Friant Kern Can @ Po,Surface Water,,,36.083285,-119.080937,NAD83,1/250000,Tulare
C03923,Friant Kern Canal to Tule River near Porterville,Friant Kern Can to T,Surface Water,,,36.073285,-119.089271,NAD83,1/250000,Tulare
B94100,Georgiana Slough at Mokelumne River,Georgiana Sl @ Mokel,Tide Station,,,38.1295,-121.5838889,NAD83,Unknown,Sacramento
21N03W31R002M,GLE_ 31R002M screen interval 280 to 285 bgs,Screen: Unknown,Groundwater,,396252N1222351W001,39.624656,-122.234998,NAD83,Unknown,Glenn
21N03W31R003M,GLE_ 31R003M screen interval 519 to 525 bgs,Screen: Unknown,Groundwater,,396252N1222351W002,39.624656,-122.234998,NAD83,Unknown,Glenn
21N03W31R004M,GLE_ 31R004M screen interval unknown,Screen: Unknown,Groundwater,,396252N1222351W003,39.624656,-122.234998,NAD83,Unknown,Glenn
21N03W31R005M,GLE_ 31R005M screen interval 99 to 105 bgs,Screen: Unknown,Groundwater,,396252N1222351W004,39.624656,-122.234998,NAD83,Unknown,Glenn
21N02W01F001M,GLE_01F001M screen interval 547 to 557 bgs,Screen: 547-557 ft,Groundwater,,397043N1220387W001,39.704336,-122.038614,NAD83,Unknown,Glenn
21N02W01F002M,GLE_01F002M screen interval 297 to 307 bgs,Screen: 297-307 ft,Groundwater,,397043N1220387W002,39.704336,-122.038614,NAD83,Unknown,Glenn
21N02W01F003M,GLE_01F003M screen interval 109 to 119 bgs,Screen: 109-119 ft,Groundwater,,397043N1220386W001,39.704328,-122.038559,NAD83,Unknown,Glenn
21N02W01F004M,GLE_01F004M screen interval 55 to 65 bgs,Screen: 55-65 ft,Groundwater,,397043N1220386W002,39.704328,-122.038559,NAD83,Unknown,Glenn
22N02W01N001M,GLE_01N001M screen interval 812 to 1050 bgs,Screen: 812-1050 ft,Groundwater,,397836N1220461W001,39.783564,-122.046138,NAD83,Unknown,Glenn
22N02W01N002M,GLE_01N002M screen interval 698 to 708 bgs,Screen: 698-708 ft,Groundwater,,397836N1220461W002,39.783564,-122.046138,NAD83,Unknown,Glenn
22N02W01N003M,GLE_01N003M screen interval 209 to 367 bgs,Screen: 209-367 ft,Groundwater,,397836N1220461W003,39.783564,-122.046138,NAD83,Unknown,Glenn
22N02W01N004M,GLE_01N004M screen interval 70 to 80 bgs,Screen: 70-80 ft,Groundwater,,397836N1220461W004,39.783564,-122.046138,NAD83,Unknown,Glenn
22N03W01R001M,GLE_01R001M screen interval 470 to 480 bgs,Screen: 470-480 ft,Groundwater,,397866N1221455W001,39.78662,-122.145489,NAD83,Unknown,Glenn
21N03W01R002M,GLE_01R002M screen interval 235 to 245 bgs,Screen: 235-245 ft,Groundwater,,396963N1221406W001,39.6963,-122.1406,NAD83,Unknown,Glenn
22N03W01R002M,GLE_01R002M screen interval 270 to 280 bgs,Screen: 270-280 ft,Groundwater,,397866N1221455W002,39.78662,-122.145489,NAD83,Unknown,Glenn
